temple_id,name,category,city,area,state,country,deity,description,aarti_timings,timings,guidance,latitude,longitude,contact,youtube_url,images,is_verified
shaktipeeth-vindhyavasini-temple-vindhyachal,Vindhyavasini Temple – Vindhyachal,Shakti Peetha,Mirzapur,,Uttar Pradesh,India,Goddess Vindhyavasini,"Vindhyavasini Devi Temple in Vindhyachal near Mirzapur sits on the banks of Ganga. Devotees complete the sacred Trikon Yatra encompassing Vindhyavasini, Kali Khoh, and Ashtabhuja temples.","{""Mangala Aarti"": ""4:00 AM"", ""Bhog Aarti"": ""12:00 PM"", ""Badi Aarti"": ""7:00 PM""}","{""Darshan"": ""4:00 AM - 11:00 PM""}",Located 8 km from Mirzapur and 70 km from Varanasi. Regular trains stop at Vindhyachal station.,25.1663,82.5054,+91-5442-245222,,[],True
shaktipeeth-kamakhya-kanya-kumari-temple,Kanyakumari Devi Temple – Kanyakumari,Shakti Peetha,Kanyakumari,,Tamil Nadu,India,Goddess Devi Kanya Kumari,"Bhagavathy Amman Temple at Kanyakumari stands at the southernmost tip of mainland India, where Arabian Sea, Bay of Bengal, and Indian Ocean meet. Famous for the diamond nose-ring of Goddess Kanya Kumari.","{""Abhishekam"": ""5:00 AM"", ""Uchikalam"": ""12:00 PM"", ""Sayarakshai"": ""6:30 PM""}","{""Darshan"": ""4:30 AM - 12:30 PM, 4:00 PM - 8:30 PM""}",Located 1 km from Kanyakumari railway station. Men must remove upper garments before entering inner prakaram.,8.078,77.555,04652 246 223,,[],True
vishnu-tirupati-balaji-temple-andhra-pradesh,Tirupati Balaji Temple – Andhra Pradesh,Vishnu Temple,Tirupati,Tirumala,Andhra Pradesh,India,Lord Venkateswara,"Tirumala Venkateswara Temple in Tirupati, Andhra Pradesh, is the world's most-visited Hindu pilgrimage site. Lord Srinivasa (Balaji) is worshipped here with elaborate daily sevas, Laddoo prasadam, and hair tonsuring vows.","{""Suprabhatam"": ""3:00 AM"", ""Thomala Seva"": ""3:30 AM"", ""Ekantha Seva"": ""1:30 AM""}","{""Darshan"": ""3:00 AM - 12:00 AM""}",Book TTD online special entry darshan tickets (300 Rs) months in advance. Reach Tirupati via Tirupati station or Renigunta Airport.,13.6833,79.3476,+91-877-2277777,https://www.youtube.com/embed/live_stream?channel=UCS2Y83GD-fc7qqgNW5uj41g,[],True
vishnu-sri-ranganathaswamy-temple-srirangam,Sri Ranganathaswamy Temple – Srirangam,Vishnu Temple,Tiruchirappalli,Srirangam,Tamil Nadu,India,Lord Ranganatha,"Sri Ranganathaswamy Temple in Srirangam is the foremost Divya Desam temple of Lord Vishnu and the largest functioning Hindu temple complex in the world, spanning 156 acres with 21 grand Gopurams.","{""Viswaroopa Seva"": ""6:00 AM"", ""Uchikalam"": ""12:00 PM"", ""Night Puja"": ""9:00 PM""}","{""Darshan"": ""6:00 AM - 1:00 PM, 3:30 PM - 9:00 PM""}",Located on Srirangam island in Trichy. Climb Rajagopuram viewing tower for panorama of the 7 concentric temple enclosures.,10.8623,78.6901,0431 243 2246,,[],True
vishnu-guruvayur-temple-kerala,Guruvayur Temple – Kerala,Vishnu Temple,Guruvayur,,Kerala,India,Lord Guruvayurappan,"Guruvayur Sri Krishna Temple in Thrissur, Kerala, is known as Bhuloka Vaikunta. Devotees worship the four-armed standing form of Lord Vishnu holding Panchajanya conch, Sudarshana chakra, Kaumodaki mace, and lotus.","{""Nirmalyam"": ""3:00 AM"", ""Ucha Pooja"": ""12:00 PM"", ""Athazha Pooja"": ""8:00 PM""}","{""Darshan"": ""3:00 AM - 1:30 PM, 4:30 PM - 9:15 PM""}","Located 27 km from Thrissur railway station. Traditional Kerala dress code (Mundu for men, Saree/Kasavu for women) is mandatory.",10.5946,76.0387,+91-487-2556335,,[],True
vishnu-padmanabhaswamy-temple-thiruvananthapuram,Padmanabhaswamy Temple – Thiruvananthapuram,Vishnu Temple,Thiruvananthapuram,,Kerala,India,Lord Padmanabha,"Sree Padmanabhaswamy Temple in Trivandrum, Kerala, features Lord Vishnu reclining in Anantha Sayana posture on serpent Ananta. It combines Chera and Dravidian architectural styles.","{""Nirmalya Darshan"": ""3:30 AM"", ""Ucha Pooja"": ""11:30 AM"", ""Deeparadhana"": ""6:30 PM""}","{""Darshan"": ""3:30 AM - 12:00 PM, 5:00 PM - 8:30 PM""}",Located 1 km from Trivandrum Central station. Strict dress code is enforced; dhoti rental counters available outside temple main entrance.,8.483,76.9436,0471 245 0233,,[],True
vishnu-bankey-bihari-temple-vrindavan,Bankey Bihari Temple – Vrindavan,Vishnu Temple,Vrindavan,,Uttar Pradesh,India,Lord Krishna (Bankey Bihari),"Shri Bankey Bihari Mandir in Vrindavan is dedicated to Lord Krishna in his tribhanga (bent in three places) posture. Established by Swami Haridas, the curtain before the idol is drawn open and closed frequently to break continuous eye contact.","{""Shringar Aarti"": ""7:45 AM"", ""Rajbhog Aarti"": ""12:00 PM"", ""Shayan Aarti"": ""9:30 PM""}","{""Darshan"": ""7:45 AM - 12:00 PM, 5:30 PM - 9:30 PM""}",Located 12 km from Mathura Junction. Keep spectacles and belongings safe from notorious local monkeys in narrow Vrindavan alleys.,27.5813,77.7003,+91-565-2442000,,[],True
vishnu-iskcon-temple-vrindavan,ISKCON Temple – Vrindavan,Vishnu Temple,Vrindavan,,Uttar Pradesh,India,Krishna Balaram,Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan) is the first ISKCON temple built in India by Srila Prabhupada. Known for melodious continuous 24-hour Kirtan and exquisite marble architecture.,"{""Mangala Aarti"": ""4:30 AM"", ""Tulsi Aarti"": ""5:00 AM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""4:30 AM - 12:45 PM, 4:30 PM - 8:45 PM""}",Located on Raman Reti Road in Vrindavan. Excellent Govinda's pure vegetarian restaurant and guest rooms inside complex.,27.5728,77.6844,+91-565-2540021,,[],True
vishnu-prem-mandir-vrindavan,Prem Mandir – Vrindavan,Vishnu Temple,Vrindavan,,Uttar Pradesh,India,Radha Krishna & Sita Ram,Prem Mandir in Vrindavan is a grand white Italian marble temple complex established by Jagadguru Kripalu Maharaj. Features stunning illuminated fountains and detailed life-sized tableaux of Radha Krishna's leelas.,"{""Aarti"": ""5:30 AM"", ""Bhog"": ""12:00 PM"", ""Evening Aarti"": ""8:00 PM""}","{""Darshan"": ""5:30 AM - 12:00 PM, 4:30 PM - 8:30 PM""}",Visit during evening hours (6:00 PM to 8:30 PM) to experience the dynamic multi-color LED lighting show and musical fountain.,27.5714,77.6744,+91-565-2540100,,[],True
vishnu-iskcon-mira-road-thane,ISKCON Mira Road – Thane,Vishnu Temple,Mira Road,Elderao Nagar,Maharashtra,India,Radha Giridhari,"Shri Radhagiridhari Mandir (ISKCON Mira Road) is a serene spiritual sanctuary offering daily worship, soul-stirring Hare Krishna kirtans, Bhagavad Gita discourses, and Annadan prasadam.","{""Mangala Aarti"": ""4:30 AM"", ""Tulsi Puja"": ""5:00 AM"", ""Sringar Darshan"": ""7:15 AM"", ""Raj Bhoga Aarti"": ""12:30 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""4:30 AM - 1:00 PM, 4:15 PM - 9:00 PM""}",Reach Mira Road railway station (Western Line) and take auto-rickshaw to Elderao Nagar near Mira Bhayandar main road.,19.2694,72.8717,+91-22-28125555,https://www.youtube.com/embed/live_stream?channel=UCKsPhfStsvK9NKPjXj0DLvg,[],True
vishnu-iskcon-temple-mumbai,ISKCON Temple Mumbai – Juhu,Vishnu Temple,Mumbai,Juhu,Maharashtra,India,Radha Rasabihari,"Shri Shri Radha Rasabihari Ji Temple (ISKCON Juhu) is a major cultural landmark in Mumbai built by Srila Prabhupada. Features a marble temple, auditoriums, bakery, and Govinda's restaurant.","{""Mangala Aarti"": ""4:30 AM"", ""Darshan Aarti"": ""7:15 AM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""4:30 AM - 1:00 PM, 4:15 PM - 9:00 PM""}",Located on Juhu Church Road near Juhu Beach. Easily accessible via Vile Parle and Andheri railway stations.,19.1128,72.8274,022 2620 6860,https://www.youtube.com/embed/live_stream?channel=UC1vJ4RlWSHP6n0xL2G1tkYQ,[],True
vishnu-iskcon-temple-bangalore-karnataka,ISKCON Temple Bengaluru – Karnataka,Vishnu Temple,Bengaluru,Rajajinagar,Karnataka,India,Sri Sri Radha Krishnachandra,"ISKCON Bangalore on Hare Krishna Hill, Rajajinagar, is one of the largest ISKCON complexes globally, featuring impressive neo-classical architecture, glass canopies, and extensive Akshaya Patra foundation operations.","{""Mangala Aarti"": ""4:30 AM"", ""Darshan Aarti"": ""7:15 AM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""4:15 AM - 5:00 AM, 7:15 AM - 1:00 PM, 4:00 PM - 8:30 PM""}",Reach via Mahalakshmi Metro Station on Green Line (500m walk). Excellent multi-story car parking facility available.,13.0098,77.5511,+91-80-23471956,https://www.youtube.com/embed/live_stream?channel=UCPXnayBvF7ynbG_I3VOTgIg,[],True
vishnu-badrinath-temple-char-dham,Badrinath Shrine – Uttarakhand,Vishnu Temple,Badrinath,,Uttarakhand,India,Lord Vishnu,"Sacred seat of Lord Badri Narayan in the High Himalayas, blessed by Tapt Kund hot thermal springs where devotees take holy dip before entering temple.","{""Maha Aarti"": ""6:00 AM"", ""Evening Aarti"": ""6:30 PM""}","{""Darshan"": ""4:30 AM - 9:00 PM""}",Located in Chamoli district. Pilgrims usually halt at Joshimath before ascending to Badrinath valley.,30.7433,79.4938,+91-135-2746847,,[],True
shiva-lingaraj-temple-bhubaneswar,Lingaraj Temple – Bhubaneswar,Shiva Temple,Bhubaneswar,,Odisha,India,Lord Harihara (Shiva),Lingaraj Temple in Bhubaneswar is an 11th-century Kalinga architecture masterpiece. Lord Shiva is worshipped here as Harihara (combined form of Shiva and Vishnu).,"{""Alati"": ""6:00 AM"", ""Bhoga"": ""12:30 PM"", ""Sahanamela"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}",Located 5 km from Bhubaneswar Railway Station. Non-Hindus can view the temple complex from an elevated viewing platform nearby.,20.2382,85.8337,0674 243 0101,,[],True
shiva-brihadisvara-temple-thanjavur,Brihadisvara Temple – Thanjavur,Shiva Temple,Thanjavur,,Tamil Nadu,India,Lord Shiva,Brihadisvara Temple (Peruvudaiyar Kovil) in Thanjavur built by Chola Emperor Raja Raja I is a UNESCO World Heritage site. Features a 216-foot vimana tower carved entirely from granite.,"{""Pal Abhishekam"": ""8:30 AM"", ""Uchikalam"": ""12:00 PM"", ""Sayarakshai"": ""6:00 PM""}","{""Darshan"": ""6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM""}",Located 1 km from Thanjavur Old Bus Stand. Marvel at the monolithic Nandi statue carved out of a single stone block.,10.7828,79.1318,04362 274 476,,[],True
shiva-amarnath-cave-temple-kashmir,Amarnath Temple – Jammu & Kashmir,Shiva Temple,Anantnag,,Jammu & Kashmir,India,Lord Shiva (Ice Lingam),"Amarnath Cave Shrine located at 3,888 meters in Anantnag district houses the naturally formed Ice Lingam (Baba Barfani). Open for pilgrimage during July-August (Shravan month).","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""6:00 PM""}","{""Darshan"": ""6:00 AM - 5:00 PM""}",Reached via Pahalgam (46 km trek) or Baltal (14 km trek) routes. Mandatory medical fitness certificate and SASB registration are compulsory.,34.2155,75.5037,+91-194-2501679,,[],True
shiva-tungnath-temple-chopta,Tungnath Temple – Chopta,Shiva Temple,Rudraprayag,Chopta,Uttarakhand,India,Lord Shiva,"Tungnath Temple in Chopta, Uttarakhand, situated at 3,680 meters, is the highest Shiva temple in the world and highest among the Panch Kedar shrines.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""6:30 PM""}","{""Darshan"": ""6:00 AM - 7:00 PM""}","Reach Chopta base camp by road from Ukhimath/Gopeshwar, then complete a scenic 3.5 km paved mountain trek through alpine meadows (Bugyals).",30.4883,79.2186,+91-1372-252120,,[],True
shiva-pashupatinath-temple-mandsaur,Pashupatinath Temple – Mandsaur,Shiva Temple,Mandsaur,,Madhya Pradesh,India,Lord Pashupatinath,"Pashupatinath Temple in Mandsaur on the Shivna River houses a rare Ashtamukhi (eight-faced) Shiva Lingam, matching the famous shrine in Kathmandu, Nepal.","{""Mangala Aarti"": ""5:30 AM"", ""Bhog Aarti"": ""12:30 PM"", ""Sandhya Aarti"": ""7:30 PM""}","{""Darshan"": ""5:30 AM - 9:30 PM""}",Located 3 km from Mandsaur railway station on Ratlam-Chittorgarh railway line.,24.0725,75.0745,+91-7422-242220,,[],True
shiva-bhojeshwar-temple-bhojpur,Bhojeshwar Temple – Bhojpur,Shiva Temple,Bhojpur,Bhopal,Madhya Pradesh,India,Lord Shiva,"Bhojeshwar Temple in Bhojpur near Bhopal was founded by Parmar King Raja Bhoj. It contains one of the largest monolithic Shiva Lingams in India, standing 18 feet tall.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 7:00 PM""}",Located 28 km from Bhopal city center. Easily accessible by local taxis and tour buses.,23.1003,77.5858,+91-755-2778383,,[],True
shiva-murudeshwar-temple-karnataka,Murudeshwar Temple – Karnataka,Shiva Temple,Murudeshwar,,Karnataka,India,Lord Shiva,Murudeshwar Temple on Kanduka Hill along the Arabian Sea coast features the world's second-tallest Lord Shiva statue (123 feet) and a massive 20-story Raja Gopuram with lifts.,"{""Maha Pooja"": ""6:30 AM"", ""Maha Naivedya"": ""12:15 PM"", ""Night Pooja"": ""8:15 PM""}","{""Darshan"": ""6:00 AM - 1:00 PM, 3:00 PM - 8:30 PM""}","Located right on Murudeshwar Railway Station line (Konkan Railway), 160 km north of Mangalore.",14.0942,74.4849,08385 260 203,,[],True
devi-meenakshi-temple-madurai,Meenakshi Temple – Madurai,Devi Temple,Madurai,,Tamil Nadu,India,Goddess Meenakshi & Sundareswarar,"Meenakshi Sundareswarar Temple in Madurai is an ancient Dravidian architectural marvel spanning 14 acres with 14 colorful gopurams housing 33,000 stone sculptures.","{""Thiruvanandal Pooja"": ""5:00 AM"", ""Uchikala Pooja"": ""10:30 AM"", ""Ardhajama Pooja"": ""9:00 PM""}","{""Darshan"": ""5:00 AM - 12:30 PM, 4:00 PM - 9:30 PM""}",Located 1.5 km from Madurai Junction railway station. Electronic devices and bags are restricted; locker rooms available at outer gates.,9.9195,78.1193,0452 234 4360,,[],True
devi-mahalaxmi-temple-mumbai,Mahalaxmi Temple – Mumbai,Devi Temple,Mumbai,Mahalaxmi,Maharashtra,India,Goddess Mahalaxmi,"Mahalaxmi Temple on Bhulabhai Desai Road overlooking the Arabian Sea is dedicated to Goddesses Mahalaxmi, Mahakali, and Mahasaraswati. Famous for heavy footfalls during Navratri.","{""Morning Aarti"": ""7:00 AM"", ""Dhoop Aarti"": ""6:30 PM"", ""Shej Aarti"": ""10:00 PM""}","{""Darshan"": ""6:00 AM - 10:00 PM""}",Reach Mahalaxmi railway station (Western Line) and take a short taxi ride to Breach Candy seaside.,18.9774,72.8066,022 2351 4732,https://youtu.be/DHRoHpI_rcI,[],True
devi-mumbadevi-temple-mumbai,Mumbadevi Temple – Mumbai,Devi Temple,Mumbai,Bhuleshwar,Maharashtra,India,Goddess Mumbadevi,"Historic Mumbadevi Temple in Zaveri Bazaar area is dedicated to Goddess Mumbadevi, patron deity of Mumbai city after whom Mumbai derives its official name.","{""Morning Aarti"": ""6:00 AM"", ""Bhog Aarti"": ""12:00 PM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}",Located near Chhatrapati Shivaji Maharaj Terminus (CSMT) and Marine Lines stations in South Mumbai.,18.9515,72.8306,022 2242 4734,,[],True
devi-mansa-devi-temple-haridwar,Mansa Devi Temple – Haridwar,Devi Temple,Haridwar,,Uttarakhand,India,Goddess Mansa Devi,Mansa Devi Temple atop Bilwa Parvat in Haridwar grants all earnest wishes (Mansa). Pilgrims tie sacred threads on temple trees while making wishes.,"{""Morning Aarti"": ""5:00 AM"", ""Evening Aarti"": ""6:30 PM""}","{""Darshan"": ""5:00 AM - 9:00 PM""}",Reach the hill summit via Udaan Khatola ropeway cable car or walk up 2 km stone staircase path from Haridwar railway station.,29.9566,78.1633,+91-1334-227031,,[],True
devi-chandi-devi-temple-haridwar,Chandi Devi Temple – Haridwar,Devi Temple,Haridwar,,Uttarakhand,India,Goddess Chandi Devi,Chandi Devi Temple atop Neel Parvat in Haridwar was established by Adi Shankaracharya in 8th century AD. Devotees visit alongside Mansa Devi to complete Siddh Peeth Yatra.,"{""Morning Aarti"": ""5:30 AM"", ""Evening Aarti"": ""6:00 PM""}","{""Darshan"": ""5:30 AM - 8:00 PM""}",Accessible via ropeway cable car from Chandighat or 3 km steep mountain trekking path.,29.9431,78.1806,+91-1334-227032,,[],True
hanuman-sankat-mochan-temple-varanasi,Sankat Mochan Hanuman Temple – Varanasi,Hanuman Temple,Varanasi,,Uttar Pradesh,India,Lord Hanuman,Sankat Mochan Hanuman Temple in Varanasi was founded by Saint Tulsidas who authored Ramcharitmanas. Devotees flock here on Tuesdays and Saturdays for relief from troubles.,"{""Morning Aarti"": ""5:00 AM"", ""Evening Aarti"": ""8:30 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located near Banaras Hindu University (BHU) campus. Strict electronic security screening at entrance.,25.2818,82.9976,0542 231 0123,,[],True
hanuman-salasar-balaji-temple-churu,Salasar Balaji Temple – Churu,Hanuman Temple,Salasar,Churu,Rajasthan,India,Lord Hanuman (Balaji),"Salasar Balaji Temple in Churu, Rajasthan, features a miraculous swayambhu idol of Lord Hanuman possessing a beard and mustache.","{""Mangla Aarti"": ""5:00 AM"", ""Bhog Aarti"": ""12:15 PM"", ""Evening Aarti"": ""7:30 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Located 170 km from Jaipur and 270 km from Delhi. Well connected by Shekhawati highway network.,27.7218,74.7088,+91-1568-252202,,[],True
hanuman-mehendipur-balaji-temple-dausa,Mehendipur Balaji Temple – Dausa,Hanuman Temple,Dausa,,Rajasthan,India,Lord Hanuman,"Mehendipur Balaji Temple in Dausa, Rajasthan, is legendary across India for ritual divine healing, exorcism, and protection from evil spirits and black magic.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:00 PM""}",Located 100 km from Jaipur along Jaipur-Agra National Highway 21.,26.9936,76.9634,+91-1420-247010,,[],True
hanuman-hanumangarhi-temple-ayodhya,Hanuman Garhi Temple – Ayodhya,Hanuman Temple,Ayodhya,,Uttar Pradesh,India,Lord Hanuman,"Hanuman Garhi in Ayodhya is a 10th-century cave temple situated on a high mound. Customarily, pilgrims visit Hanuman Garhi to seek permission before proceeding to Ram Janmabhoomi Mandir.","{""Morning Aarti"": ""5:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""5:00 AM - 10:00 PM""}",Climb 76 stone steps to reach the main square fortress complex in central Ayodhya.,26.7956,82.1994,+91-5278-232011,,[],True
hanuman-jakhu-temple-shimla,Jakhu Temple – Shimla,Hanuman Temple,Shimla,,Himachal Pradesh,India,Lord Hanuman,"Jakhu Temple at Jakhu Hill peak (2,455m altitude) in Shimla features a colossal 108-foot red statue of Lord Hanuman visible across Shimla valley.","{""Morning Aarti"": ""7:00 AM"", ""Evening Aarti"": ""6:00 PM""}","{""Darshan"": ""7:00 AM - 8:00 PM""}",Reach via Jakhu Ropeway cable car from Ridge ground or trek 2 km through pine forests.,31.1011,77.1818,+91-177-2808020,,[],True
sacred-shree-ram-janmabhoomi-mandir-ayodhya,Shree Ram Janmabhoomi Mandir – Ayodhya,Sacred,Ayodhya,,Uttar Pradesh,India,Lord Ram (Ram Lalla),Shree Ram Janmabhoomi Mandir in Ayodhya marks the sacred birthplace of Lord Ram. The majestic nagara-style temple crafted from pink Bansi Paharpur sandstone was consecrated in 2024.,"{""Mangala Aarti"": ""4:30 AM"", ""Shringar Aarti"": ""6:30 AM"", ""Sandhya Aarti"": ""7:30 PM""}","{""Darshan"": ""7:00 AM - 11:30 AM, 2:00 PM - 7:00 PM""}",Reach Ayodhya Dham Junction station or Maharishi Valmiki International Airport. Online advance pass booking is recommended for smooth entry.,26.7922,82.1998,+91-5278-297003,,[],True
sacred-golden-temple-amritsar,Golden Temple – Amritsar,Sacred,Amritsar,,Punjab,India,Sri Harmandir Sahib,"Sri Harmandir Sahib (Golden Temple) in Amritsar is the preeminent spiritual shrine of Sikhism. Surrounded by Amrit Sarovar lake, its golden dome welcomes all people regardless of background.","{""Prakash Ceremony"": ""4:00 AM"", ""Asa Di Vaar Kirtan"": ""5:00 AM"", ""Sukhasan Ceremony"": ""10:00 PM""}","{""Darshan"": ""24 Hours Open""}","Cover head with scarf, remove shoes at footwear counters, and wash hands/feet at entrance streams before entering complex.",31.62,74.8765,0183 255 3957,https://www.youtube.com/embed/live_stream?channel=UCYn6UEtQ771a_OWSiNBoG8w,[],True
sacred-siddhivinayak-temple-mumbai,Siddhivinayak Temple – Mumbai,Sacred,Mumbai,Prabhadevi,Maharashtra,India,Lord Ganesha,"Shree Siddhivinayak Ganapati Mandir in Prabhadevi, Mumbai, is a prominent 6-story Ganesha temple featuring a dome plated with 3.7 kg gold. Visited by millions including dignitaries and celebrities.","{""Kakad Aarti"": ""5:30 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Shej Aarti"": ""8:45 PM""}","{""Darshan"": ""5:30 AM - 9:50 PM""}",Accessible via Dadar and Prabhadevi local railway stations. Tuesday is the busiest day for devotional walking yatras.,19.0166,72.8302,022 2437 3626,https://www.youtube.com/embed/live_stream?channel=UCmVh_JJg-jurl1G-8opW1zw,[],True
sacred-shirdi-sai-baba-temple-maharashtra,Shirdi Sai Baba Temple – Maharashtra,Sacred,Shirdi,,Maharashtra,India,Sai Baba,"Shri Sai Baba Samadhi Mandir in Shirdi houses the holy marble tomb and idol of revered saint Shirdi Sai Baba. Complex includes Dwarkamai, Chavadi, and Lendi Baug.","{""Kakad Aarti"": ""4:30 AM"", ""Madhyan Aarti"": ""12:00 PM"", ""Dhoop Aarti"": ""sunset"", ""Shej Aarti"": ""10:30 PM""}","{""Darshan"": ""5:00 AM - 10:30 PM""}",Reach Sainagar Shirdi railway station or Shirdi Airport. Pre-booking Kakad Aarti or VIP pass via Sansthan website avoids multi-hour queues.,19.7662,74.477,+91-2423-258500,https://www.youtube.com/embed/live_stream?channel=UCAoiAR0Cw2I9_ETZWQVL12A,[],True
sacred-akshardham-temple-delhi,Swaminarayan Akshardham – Delhi,Sacred,New Delhi,,Delhi,India,Swaminarayan,"Swaminarayan Akshardham in Delhi displays millennia of traditional Hindu culture, spirituality, and architecture. Features 20,000 carved statues, Sahaj Anand water show, and cultural boat ride.","{""Morning Aarti"": ""10:00 AM"", ""Evening Aarti"": ""6:00 PM""}","{""Darshan"": ""10:00 AM - 8:00 PM (Closed Mondays)""}","Take Delhi Metro Blue Line directly to Akshardham Metro Station. Electronic items, bags, and mobile phones are strictly forbidden inside premises.",28.6127,77.2773,011 4344 2344,,[],True
sacred-birla-mandir-jaipur,Birla Mandir (Laxmi Narayan) – Jaipur,Sacred,Jaipur,,Rajasthan,India,Laxmi Narayan,Laxmi Narayan Temple (Birla Mandir) at the foot of Moti Dungri hill in Jaipur is built entirely of white Rajasthani marble. Gloriously illuminated against night sky.,"{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:30 PM""}","{""Darshan"": ""6:00 AM - 12:00 PM, 4:00 PM - 9:00 PM""}",Located 5 km from Jaipur Junction railway station. Combine with Moti Dungri Ganesha Temple visit next door.,26.8921,75.8153,+91-141-2564100,,[],True
sacred-somnath-temple-prabhas-patan,Somnath Divine Shrine – Gujarat,Sacred,Prabhas Patan,,Gujarat,India,Lord Shiva,"Coastal sanctuary of Prabhas Patan overlooking the Triveni Sangam (Hiran, Kapila, Saraswati rivers confluence).","{""Mangala Aarti"": ""7:00 AM"", ""Sandhya Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 9:30 PM""}",Enjoy evening light and sound show (7:30 PM to 8:30 PM) narrated by megastar Amitabh Bachchan.,20.888,70.4012,02876 231 200,https://www.youtube.com/embed/live_stream?channel=UCXhail7h5FDRbHprlR56nIw,[],True
shaktipeeth-sharda-peeth-kashmir,Sharada Peeth – Kashmir,Shakti Peetha,Kupwara,,Jammu & Kashmir,India,Goddess Sharada,Ancient revered seat of learning and Goddess Saraswati Shakti Peetha.,"{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Kupwara, Jammu & Kashmir. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",34.7925,73.8475,022 1234 5678,,[],True
shaktipeeth-hinglaj-devi-rajasthan,Hinglaj Mata Temple – Barmer,Shakti Peetha,Barmer,,Rajasthan,India,Hinglaj Mata,Revered Shakti Peetha shrine situated along Indo-Pak border in Barmer region.,"{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Barmer, Rajasthan. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",25.75,71.3833,022 1234 5678,,[],True
shaktipeeth-tripora-sundari-temple-tripura,Tripura Sundari Temple – Udaipur,Shakti Peetha,Udaipur,,Tripura,India,Goddess Tripura Sundari,"One of the 51 Shakti Peethas (Sati's right foot fell here), known locally as Matabari.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Udaipur, Tripura. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",23.5323,91.49,022 1234 5678,,[],True
shaktipeeth-attahas-temple-birbhum,Fullara Attahas Temple – Birbhum,Shakti Peetha,Labhpur,,West Bengal,India,Goddess Fullara,"Famous Shakti Peetha where Sati's lower lip fell, near Labhpur in Birbhum.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Labhpur, West Bengal. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",23.8242,87.8105,022 1234 5678,,[],True
shaktipeeth-bakreshwar-temple-birbhum,Bakreshwar Temple – Birbhum,Shakti Peetha,Suri,,West Bengal,India,Goddess Mahishamardini,Shakti Peetha known for natural hot water sulfur springs and Lord Bakreshwar Shiva.,"{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Suri, West Bengal. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",23.8825,87.3708,022 1234 5678,,[],True
shaktipeeth-nalateswari-temple-nalhati,Nalateswari Temple – Nalhati,Shakti Peetha,Nalhati,,West Bengal,India,Goddess Nalateswari,"Shakti Peetha where Sati's throat (Nala) fell, surrounded by serene hillocks.","{""Morning Aarti"": ""6:00 AM"", ""Evening Aarti"": ""7:00 PM""}","{""Darshan"": ""6:00 AM - 8:00 PM""}","Located in Nalhati, West Bengal. Reachable by local transport and city railway/road networks. Best visited during morning or evening prayer sessions.",24.2961,87.8344,022 1234 5678,,[],True
